LOCATION,fecha_cui_intensivo,value,fecha_csv
ALL/CABA,2020-06-09,9,2020-06-17
ALL/CABA,2020-06-10,9,2020-06-17
ALL/CABA,2020-06-11,9,2020-06-17
ALL/CABA,2020-06-12,6,2020-06-17
ALL/CABA,2020-06-13,4,2020-06-17
ALL/CABA,2020-06-14,8,2020-06-17
ALL/CABA,2020-06-15,8,2020-06-17
ALL/CABA,2020-06-16,3,2020-06-17
ALL/Chaco,2020-03-09,1,2020-06-17
ALL/Chaco,2020-03-14,2,2020-06-17
ALL/Chaco,2020-03-18,1,2020-06-17
ALL/Chaco,2020-03-19,1,2020-06-17
ALL/Chaco,2020-03-25,1,2020-06-17
ALL/Chaco,2020-03-26,1,2020-06-17
ALL/Chaco,2020-03-28,1,2020-06-17
ALL/Chaco,2020-03-31,1,2020-06-17
ALL/Chaco,2020-04-03,1,2020-06-17
ALL/Chaco,2020-04-08,1,2020-06-17
ALL/Chaco,2020-04-10,1,2020-06-17
ALL/Chaco,2020-04-12,2,2020-06-17
ALL/Chaco,2020-04-13,2,2020-06-17
ALL/Chaco,2020-04-15,1,2020-06-17
ALL/Chaco,2020-04-16,1,2020-06-17
ALL/Chaco,2020-04-19,1,2020-06-17
ALL/Chaco,2020-04-20,1,2020-06-17
ALL/Chaco,2020-04-22,2,2020-06-17
ALL/Chaco,2020-04-24,2,2020-06-17
ALL/Chaco,2020-04-25,2,2020-06-17
ALL/Chaco,2020-04-26,2,2020-06-17
ALL/Chaco,2020-04-27,3,2020-06-17
ALL/Chaco,2020-04-29,1,2020-06-17
ALL/Chaco,2020-04-30,1,2020-06-17
ALL/Chaco,2020-05-02,1,2020-06-17
ALL/Chaco,2020-05-03,1,2020-06-17
ALL/Chaco,2020-05-04,1,2020-06-17
ALL/Chaco,2020-05-05,1,2020-06-17
ALL/Chaco,2020-05-06,2,2020-06-17
ALL/Chaco,2020-05-07,1,2020-06-17
ALL/Chaco,2020-05-08,1,2020-06-17
ALL/Chaco,2020-05-09,3,2020-06-17
ALL/Chaco,2020-05-10,2,2020-06-17
