LOCATION,fecha_fallecimiento,value,fecha_csv
ALL/CABA,2020-05-11,5,2020-06-17
ALL/CABA,2020-05-12,3,2020-06-17
ALL/CABA,2020-05-13,6,2020-06-17
ALL/CABA,2020-05-14,1,2020-06-17
ALL/CABA,2020-05-15,4,2020-06-17
ALL/CABA,2020-05-16,1,2020-06-17
ALL/CABA,2020-05-17,7,2020-06-17
ALL/CABA,2020-05-18,4,2020-06-17
ALL/CABA,2020-05-19,1,2020-06-17
ALL/CABA,2020-05-20,5,2020-06-17
ALL/CABA,2020-05-21,7,2020-06-17
ALL/CABA,2020-05-22,4,2020-06-17
ALL/CABA,2020-05-23,3,2020-06-17
ALL/CABA,2020-05-24,5,2020-06-17
ALL/CABA,2020-05-25,8,2020-06-17
ALL/CABA,2020-05-26,4,2020-06-17
ALL/CABA,2020-05-27,4,2020-06-17
ALL/CABA,2020-05-28,3,2020-06-17
ALL/CABA,2020-05-29,7,2020-06-17
ALL/CABA,2020-05-30,9,2020-06-17
ALL/CABA,2020-05-31,2,2020-06-17
ALL/CABA,2020-06-01,4,2020-06-17
ALL/CABA,2020-06-02,6,2020-06-17
ALL/CABA,2020-06-03,14,2020-06-17
ALL/CABA,2020-06-04,15,2020-06-17
ALL/CABA,2020-06-05,11,2020-06-17
ALL/CABA,2020-06-06,12,2020-06-17
ALL/CABA,2020-06-07,6,2020-06-17
ALL/CABA,2020-06-08,12,2020-06-17
ALL/CABA,2020-06-09,11,2020-06-17
ALL/CABA,2020-06-10,11,2020-06-17
ALL/CABA,2020-06-11,10,2020-06-17
ALL/CABA,2020-06-12,7,2020-06-17
ALL/CABA,2020-06-13,6,2020-06-17
ALL/CABA,2020-06-14,18,2020-06-17
ALL/CABA,2020-06-15,6,2020-06-17
ALL/CABA,2020-06-16,7,2020-06-17
ALL/CABA,2020-06-17,4,2020-06-17
ALL/Chaco,2020-03-13,1,2020-06-17
ALL/Chaco,2020-03-24,1,2020-06-17
ALL/Chaco,2020-03-25,2,2020-06-17
ALL/Chaco,2020-03-31,1,2020-06-17
ALL/Chaco,2020-04-01,1,2020-06-17
ALL/Chaco,2020-04-02,1,2020-06-17
ALL/Chaco,2020-04-08,1,2020-06-17
ALL/Chaco,2020-04-13,1,2020-06-17
ALL/Chaco,2020-04-14,1,2020-06-17
ALL/Chaco,2020-04-19,1,2020-06-17
ALL/Chaco,2020-04-24,1,2020-06-17
ALL/Chaco,2020-04-27,1,2020-06-17
ALL/Chaco,2020-04-28,1,2020-06-17
ALL/Chaco,2020-05-01,3,2020-06-17
ALL/Chaco,2020-05-02,2,2020-06-17
ALL/Chaco,2020-05-05,1,2020-06-17
ALL/Chaco,2020-05-10,1,2020-06-17
ALL/Chaco,2020-05-11,2,2020-06-17
ALL/Chaco,2020-05-13,1,2020-06-17
ALL/Chaco,2020-05-14,1,2020-06-17
ALL/Chaco,2020-05-15,3,2020-06-17
ALL/Chaco,2020-05-16,2,2020-06-17
ALL/Chaco,2020-05-17,1,2020-06-17
ALL/Chaco,2020-05-18,4,2020-06-17
ALL/Chaco,2020-05-19,1,2020-06-17
ALL/Chaco,2020-05-20,2,2020-06-17
ALL/Chaco,2020-05-22,3,2020-06-17
ALL/Chaco,2020-05-23,1,2020-06-17
ALL/Chaco,2020-05-24,1,2020-06-17
ALL/Chaco,2020-05-25,2,2020-06-17
ALL/Chaco,2020-05-26,1,2020-06-17
ALL/Chaco,2020-05-27,1,2020-06-17
ALL/Chaco,2020-05-28,4,2020-06-17
ALL/Chaco,2020-05-29,2,2020-06-17
ALL/Chaco,2020-05-31,2,2020-06-17
ALL/Chaco,2020-06-01,3,2020-06-17
ALL/Chaco,2020-06-03,1,2020-06-17
ALL/Chaco,2020-06-04,2,2020-06-17
ALL/Chaco,2020-06-05,1,2020-06-17
ALL/Chaco,2020-06-06,1,2020-06-17
ALL/Chaco,2020-06-07,1,2020-06-17
ALL/Chaco,2020-06-08,1,2020-06-17
ALL/Chaco,2020-06-10,2,2020-06-17
ALL/Chaco,2020-06-11,1,2020-06-17
ALL/Chaco,2020-06-12,4,2020-06-17
ALL/Chaco,2020-06-14,5,2020-06-17
ALL/Chubut,2020-06-10,1,2020-06-17
ALL/Córdoba,2020-03-29,1,2020-06-17
ALL/Córdoba,2020-04-05,1,2020-06-17
ALL/Córdoba,2020-04-11,1,2020-06-17
ALL/Córdoba,2020-04-13,1,2020-06-17
ALL/Córdoba,2020-04-15,2,2020-06-17
ALL/Córdoba,2020-04-19,1,2020-06-17
ALL/Córdoba,2020-04-20,2,2020-06-17
ALL/Córdoba,2020-04-22,1,2020-06-17
ALL/Córdoba,2020-04-24,1,2020-06-17
ALL/Córdoba,2020-04-25,1,2020-06-17
ALL/Córdoba,2020-04-27,2,2020-06-17
ALL/Córdoba,2020-05-01,2,2020-06-17
ALL/Córdoba,2020-05-02,3,2020-06-17
ALL/Córdoba,2020-05-04,2,2020-06-17
ALL/Córdoba,2020-05-11,1,2020-06-17
ALL/Córdoba,2020-05-14,2,2020-06-17
ALL/Córdoba,2020-05-17,1,2020-06-17
ALL/Córdoba,2020-05-19,1,2020-06-17
ALL/Córdoba,2020-05-20,1,2020-06-17
ALL/Córdoba,2020-05-24,1,2020-06-17
ALL/Córdoba,2020-05-26,1,2020-06-17
ALL/Córdoba,2020-05-31,1,2020-06-17
ALL/Córdoba,2020-06-03,1,2020-06-17
ALL/Córdoba,2020-06-05,1,2020-06-17
ALL/Córdoba,2020-06-12,1,2020-06-17
ALL/Córdoba,2020-06-14,2,2020-06-17
ALL/Jujuy,2020-06-12,1,2020-06-17
ALL/La Rioja,2020-03-31,1,2020-06-17
ALL/La Rioja,2020-04-13,1,2020-06-17
ALL/La Rioja,2020-04-17,1,2020-06-17
ALL/La Rioja,2020-04-21,2,2020-06-17
