LOCATION,fecha_fallecimiento,value,fecha_csv
ALL/Guaraní,2020-04-23,1,2020-06-16
ALL/Hurlingham,2020-06-14,1,2020-06-16
ALL/Ituzaingó,2020-04-01,1,2020-06-16
ALL/Ituzaingó,2020-04-11,1,2020-06-16
ALL/Ituzaingó,2020-04-27,1,2020-06-16
ALL/Ituzaingó,2020-05-09,1,2020-06-16
ALL/Ituzaingó,2020-05-18,1,2020-06-16
ALL/Ituzaingó,2020-05-21,1,2020-06-16
ALL/Ituzaingó,2020-05-23,1,2020-06-16
ALL/José C. Paz,2020-04-11,1,2020-06-16
ALL/José C. Paz,2020-05-06,1,2020-06-16
ALL/José C. Paz,2020-05-08,1,2020-06-16
ALL/José C. Paz,2020-05-11,2,2020-06-16
ALL/José C. Paz,2020-05-15,1,2020-06-16
ALL/José C. Paz,2020-05-21,2,2020-06-16
ALL/José C. Paz,2020-05-27,1,2020-06-16
ALL/José C. Paz,2020-05-29,1,2020-06-16
ALL/José C. Paz,2020-06-02,1,2020-06-16
ALL/La Matanza,2020-04-02,1,2020-06-16
ALL/La Matanza,2020-04-05,1,2020-06-16
ALL/La Matanza,2020-04-16,1,2020-06-16
ALL/La Matanza,2020-04-28,1,2020-06-16
ALL/La Matanza,2020-04-29,1,2020-06-16
ALL/La Matanza,2020-05-01,2,2020-06-16
ALL/La Matanza,2020-05-03,1,2020-06-16
ALL/La Matanza,2020-05-05,1,2020-06-16
ALL/La Matanza,2020-05-10,1,2020-06-16
ALL/La Matanza,2020-05-12,1,2020-06-16
ALL/La Matanza,2020-05-14,1,2020-06-16
ALL/La Matanza,2020-05-15,1,2020-06-16
ALL/La Matanza,2020-05-16,1,2020-06-16
ALL/La Matanza,2020-05-18,2,2020-06-16
ALL/La Matanza,2020-05-21,1,2020-06-16
ALL/La Matanza,2020-05-23,2,2020-06-16
ALL/La Matanza,2020-05-25,1,2020-06-16
ALL/La Matanza,2020-05-28,1,2020-06-16
ALL/La Matanza,2020-05-30,1,2020-06-16
ALL/La Matanza,2020-05-31,1,2020-06-16
ALL/La Matanza,2020-06-01,1,2020-06-16
ALL/La Matanza,2020-06-02,2,2020-06-16
ALL/La Matanza,2020-06-03,2,2020-06-16
ALL/La Matanza,2020-06-08,2,2020-06-16
ALL/La Matanza,2020-06-10,3,2020-06-16
ALL/La Matanza,2020-06-11,3,2020-06-16
ALL/La Matanza,2020-06-12,2,2020-06-16
ALL/La Matanza,2020-06-15,2,2020-06-16
ALL/La Plata,2020-05-07,1,2020-06-16
ALL/La Plata,2020-05-10,1,2020-06-16
ALL/La Plata,2020-05-19,2,2020-06-16
ALL/La Plata,2020-05-21,1,2020-06-16
ALL/La Plata,2020-05-22,1,2020-06-16
ALL/La Plata,2020-05-24,1,2020-06-16
ALL/La Plata,2020-05-28,1,2020-06-16
ALL/La Plata,2020-06-06,1,2020-06-16
ALL/La Plata,2020-06-07,1,2020-06-16
ALL/La Plata,2020-06-08,1,2020-06-16
ALL/La Plata,2020-06-09,1,2020-06-16
ALL/La Plata,2020-06-11,1,2020-06-16
ALL/La Plata,2020-06-12,1,2020-06-16
ALL/Lanús,2020-04-07,1,2020-06-16
ALL/Lanús,2020-05-21,1,2020-06-16
ALL/Lanús,2020-05-24,1,2020-06-16
ALL/Lanús,2020-06-07,1,2020-06-16
ALL/Lanús,2020-06-09,1,2020-06-16
ALL/Lanús,2020-06-10,2,2020-06-16
ALL/Lanús,2020-06-12,2,2020-06-16
ALL/Las Heras,2020-04-01,1,2020-06-16
ALL/Las Heras,2020-04-16,1,2020-06-16
ALL/Leandro N. Alem,2020-05-06,1,2020-06-16
ALL/Ledesma,2020-06-12,1,2020-06-16
ALL/Lomas de Zamora,2020-04-08,1,2020-06-16
ALL/Lomas de Zamora,2020-04-09,1,2020-06-16
ALL/Lomas de Zamora,2020-05-14,1,2020-06-16
ALL/Lomas de Zamora,2020-05-22,1,2020-06-16
ALL/Lomas de Zamora,2020-05-26,1,2020-06-16
ALL/Lomas de Zamora,2020-06-01,1,2020-06-16
ALL/Lomas de Zamora,2020-06-02,1,2020-06-16
ALL/Lomas de Zamora,2020-06-03,1,2020-06-16
ALL/Lomas de Zamora,2020-06-07,1,2020-06-16
ALL/Lomas de Zamora,2020-06-08,2,2020-06-16
ALL/Lomas de Zamora,2020-06-10,2,2020-06-16
ALL/Lomas de Zamora,2020-06-11,2,2020-06-16
ALL/Lomas de Zamora,2020-06-13,1,2020-06-16
ALL/Loncopué,2020-04-06,1,2020-06-16
ALL/Loncopué,2020-04-08,1,2020-06-16
ALL/Luján,2020-04-08,1,2020-06-16
ALL/Luján,2020-04-12,1,2020-06-16
ALL/Luján,2020-04-30,1,2020-06-16
ALL/Luján de Cuyo,2020-03-27,1,2020-06-16
ALL/Lácar,2020-03-30,1,2020-06-16
ALL/Malargüe,2020-04-14,1,2020-06-16
ALL/Malvinas Argentinas,2020-03-26,1,2020-06-16
ALL/Malvinas Argentinas,2020-04-08,1,2020-06-16
ALL/Malvinas Argentinas,2020-04-25,1,2020-06-16
ALL/Malvinas Argentinas,2020-04-30,1,2020-06-16
ALL/Malvinas Argentinas,2020-05-03,1,2020-06-16
ALL/Malvinas Argentinas,2020-05-06,2,2020-06-16
ALL/Malvinas Argentinas,2020-05-07,1,2020-06-16
ALL/Malvinas Argentinas,2020-05-10,1,2020-06-16
ALL/Malvinas Argentinas,2020-05-16,1,2020-06-16
ALL/Malvinas Argentinas,2020-05-21,1,2020-06-16
ALL/Marcos Paz,2020-06-06,1,2020-06-16
ALL/Marcos Paz,2020-06-11,2,2020-06-16
ALL/Marcos Paz,2020-06-12,1,2020-06-16
ALL/Mayor Luis J. Fontana,2020-05-22,1,2020-06-16
ALL/Merlo,2020-04-07,1,2020-06-16
ALL/Merlo,2020-04-08,1,2020-06-16
ALL/Merlo,2020-04-15,1,2020-06-16
ALL/Merlo,2020-04-22,1,2020-06-16
ALL/Merlo,2020-04-23,1,2020-06-16
ALL/Merlo,2020-04-24,1,2020-06-16
ALL/Merlo,2020-04-25,1,2020-06-16
ALL/Merlo,2020-05-04,1,2020-06-16
ALL/Merlo,2020-05-06,2,2020-06-16
ALL/Merlo,2020-05-07,1,2020-06-16
ALL/Merlo,2020-05-08,1,2020-06-16
ALL/Merlo,2020-05-09,1,2020-06-16
ALL/Merlo,2020-05-10,1,2020-06-16
ALL/Merlo,2020-05-11,1,2020-06-16
ALL/Merlo,2020-05-13,2,2020-06-16
ALL/Merlo,2020-05-16,1,2020-06-16
ALL/Merlo,2020-05-22,1,2020-06-16
ALL/Merlo,2020-05-28,1,2020-06-16
ALL/Merlo,2020-05-30,1,2020-06-16
ALL/Merlo,2020-06-07,1,2020-06-16
ALL/Merlo,2020-06-08,1,2020-06-16
ALL/Moreno,2020-04-01,1,2020-06-16
ALL/Moreno,2020-04-05,1,2020-06-16
ALL/Moreno,2020-04-10,1,2020-06-16
ALL/Moreno,2020-05-18,2,2020-06-16
ALL/Moreno,2020-05-24,1,2020-06-16
ALL/Moreno,2020-05-27,2,2020-06-16
ALL/Moreno,2020-05-31,1,2020-06-16
ALL/Moreno,2020-06-03,1,2020-06-16
ALL/Moreno,2020-06-05,1,2020-06-16
ALL/Moreno,2020-06-07,1,2020-06-16
ALL/Moreno,2020-06-08,1,2020-06-16
ALL/Moreno,2020-06-13,1,2020-06-16
ALL/Moreno,2020-06-14,1,2020-06-16
ALL/Morón,2020-03-26,1,2020-06-16
ALL/Morón,2020-04-06,1,2020-06-16
ALL/Morón,2020-04-14,1,2020-06-16
ALL/Morón,2020-04-16,1,2020-06-16
ALL/Morón,2020-04-23,1,2020-06-16
ALL/Morón,2020-05-01,1,2020-06-16
ALL/Morón,2020-05-20,1,2020-06-16
ALL/Morón,2020-05-25,1,2020-06-16
ALL/Morón,2020-05-26,1,2020-06-16
ALL/Morón,2020-05-27,1,2020-06-16
ALL/Morón,2020-06-07,1,2020-06-16
ALL/Morón,2020-06-08,1,2020-06-16
ALL/Morón,2020-06-15,1,2020-06-16
ALL/Olavarría,2020-06-10,1,2020-06-16
ALL/Olavarría,2020-06-12,1,2020-06-16
ALL/Patagones,2020-04-22,1,2020-06-16
ALL/Pehuajó,2020-04-15,1,2020-06-16
ALL/Pilar,2020-04-10,1,2020-06-16
ALL/Pilar,2020-04-18,1,2020-06-16
ALL/Pilar,2020-04-24,3,2020-06-16
ALL/Pilar,2020-04-25,1,2020-06-16
ALL/Pilar,2020-05-03,2,2020-06-16
ALL/Pilar,2020-06-07,1,2020-06-16
ALL/Pilcaniyeu,2020-06-13,1,2020-06-16
ALL/Presidencia de la Plaza,2020-05-31,1,2020-06-16
ALL/Punilla,2020-03-29,1,2020-06-16
ALL/Punilla,2020-04-11,1,2020-06-16
ALL/Punilla,2020-05-01,1,2020-06-16
ALL/Punilla,2020-05-26,1,2020-06-16
ALL/Quilmes,2020-04-15,1,2020-06-16
ALL/Quilmes,2020-04-21,1,2020-06-16
ALL/Quilmes,2020-04-23,1,2020-06-16
ALL/Quilmes,2020-04-28,1,2020-06-16
ALL/Quilmes,2020-05-14,1,2020-06-16
ALL/Quilmes,2020-05-20,1,2020-06-16
ALL/Quilmes,2020-05-30,1,2020-06-16
ALL/Quilmes,2020-06-01,1,2020-06-16
ALL/Quilmes,2020-06-03,1,2020-06-16
ALL/Quilmes,2020-06-04,1,2020-06-16
ALL/Quilmes,2020-06-06,1,2020-06-16
ALL/Quilmes,2020-06-07,2,2020-06-16
ALL/Quilmes,2020-06-10,1,2020-06-16
ALL/Quilmes,2020-06-12,1,2020-06-16
ALL/Rawson,2020-06-10,1,2020-06-16
ALL/Rosario,2020-04-01,1,2020-06-16
ALL/Rosario,2020-06-15,1,2020-06-16
ALL/SIN ESPECIFICAR,2020-03-25,2,2020-06-16
ALL/SIN ESPECIFICAR,2020-03-27,1,2020-06-16
ALL/SIN ESPECIFICAR,2020-03-28,1,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-01,1,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-04,2,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-05,2,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-06,2,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-07,1,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-08,3,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-09,3,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-11,1,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-12,2,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-13,1,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-14,3,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-16,3,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-17,2,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-19,1,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-20,1,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-21,3,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-22,2,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-23,2,2020-06-16
ALL/SIN ESPECIFICAR,2020-04-24,3,2020-06-16
